entidade_id,logradouro,numero,cep,localidade,municipio,estado
9bc9af36-9a92-4e5d-9ec4-14a12854239e,R. CONDE DOS ARCOS,996,81010-120,LINDÓIA,Curitiba,PR
50ac8e8e-2172-4fae-a318-21890a6a0525,R. VICTOR HUGO,608,81010-130,LINDÓIA,Curitiba,PR
45035fcb-ca83-4f0c-8bd5-0c888e36ce96,R. MARECHAL HERMES,300,80530-230,LINDÓIA,Curitiba,PR
8a13e3cf-68ef-4517-bb1b-23273b9b925e,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
53bcc08a-534d-439c-a50a-f5eaec27bd2f,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
f57109b8-ef62-43b5-a8ab-ce537b96a1a6,R. JOSINA RAMOS RÉGIO,365,81010-210,LINDÓIA,Curitiba,PR
c595268a-7dca-46bc-9b3a-f74424558bb6,AV. HENRY FORD,866,81010-100,LINDÓIA,Curitiba,PR
8531a8ad-5437-40e5-892f-7c843be7e393,R. DJALMA FERREIRA MACIEL,1096,81010-270,LINDÓIA,Curitiba,PR
bc7ad1aa-aeab-4afc-a9f9-bc7def445cfc,AV. PRESIDENTE WENCESLAU BRAZ,2065,81010-000,LINDÓIA,Curitiba,PR
2c1795c4-54b0-4e69-a41b-8b3c16eb409f,R. EMILE ZOLA,465,81010-260,LINDÓIA,Curitiba,PR
49a8834a-dc02-4968-b257-8e74633c533e,R. SANTA JOANA DARC,852,81010-190,LINDÓIA,Curitiba,PR
c7b79c91-7661-4957-9d53-25fe7126e065,R. CONDE DOS ARCOS,438,81010-120,LINDÓIA,Curitiba,PR
bafdf4d9-47a6-4d52-b87f-d57111e81b66,R. CONDE DOS ARCOS,11,81010-120,LINDÓIA,Curitiba,PR
3ddb0d54-f10d-4061-93e4-49945faa6bd0,R. CAPITÃO JOÃO ZALESKI,534,81010-080,LINDÓIA,Curitiba,PR
03b0073b-5fe9-4b28-8ec5-f949203577d1,AV. HENRY FORD,2202,81010-100,LINDÓIA,Curitiba,PR
dbd54dbd-325a-4d13-b7d2-53cc566e4d37,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
6032cd2e-4d22-40ba-99b7-0d4c320e235e,AV. PRESIDENTE WENCESLAU BRAZ,2453,81010-000,LINDÓIA,Curitiba,PR
0fe435d9-6a2f-4f8d-9f5d-73d01cd287ee,AV. SANTA BERNADETHE,690,81010-200,LINDÓIA,Curitiba,PR
123dca46-86a7-400e-86b0-251fcb8042d9,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
3ac3f5a7-5c2c-4d2e-869e-b3290689d54f,R. TOMÉ DE SOUZA,67,81010-010,LINDÓIA,Curitiba,PR
e6b6a1f5-339b-43e1-b717-d9d2a07d2b8d,R. AMÉRICO VESPÚCIO,373,81010-250,LINDÓIA,Curitiba,PR
38bbfe2f-dab1-48e4-b775-13b29dbb8dd9,R. GALILEU GALILEI,824,81010-180,LINDÓIA,Curitiba,PR
71934512-64e0-444b-a58e-2c6cd96e2e30,R. CAPITÃO JOÃO ZALESKI,1435,81010-080,LINDÓIA,Curitiba,PR
d1fa9872-0e9f-4c31-84e5-cefb0cdc6313,AV. PRESIDENTE WENCESLAU BRAZ,2383,81010-000,LINDÓIA,Curitiba,PR
b9efb1b8-1793-4d0f-a2e9-e9e7c3579e5c,R. DUARTE DA COSTA,612,81010-060,LINDÓIA,Curitiba,PR
db0ad27d-b5e0-40c9-b562-29e41275a8be,R. MEM DE SÁ,543,81010-110,LINDÓIA,Curitiba,PR
858787ad-e142-4ef9-a647-818fdef575b0,R. SANTA JOANA DARC,292,81010-190,LINDÓIA,Curitiba,PR
edb58a0f-e93a-40d5-acae-320be52f985a,AV. SANTA BERNADETHE,690,81010-200,LINDÓIA,Curitiba,PR
bf4c6b0a-f055-454a-be6a-3c825d32d9de,R. CAPITÃO JOÃO ZALESKI,474,81010-080,LINDÓIA,Curitiba,PR
841d64dd-0af7-4d8c-8426-98a6556177a2,R. LEON TOLSTOI,508,81010-090,LINDÓIA,Curitiba,PR
b9532970-3033-482c-b447-1c7fda6cacea,R. AMÉRICO VESPÚCIO,636,81010-250,LINDÓIA,Curitiba,PR
6b29e33a-2dec-4766-b29d-a87522a5e83d,AV. HENRY FORD,1848,81010-100,LINDÓIA,Curitiba,PR
d9909b6f-ad11-4603-a5e5-82aa464207e6,R. AMÉRICO VESPÚCIO,636,81010-250,LINDÓIA,Curitiba,PR
5f55f553-a76d-4196-a620-bd5d32e78231,R. LEON TOLSTOI,955,81010-090,LINDÓIA,Curitiba,PR
5337022f-6c5d-4405-8184-605ff4d94926,R. MEM DE SÁ,129,81010-110,LINDÓIA,Curitiba,PR
a53cac59-f2ac-414a-9ee1-dd66aec6607d,R. CAPITÃO JOÃO ZALESKI,842,81010-080,LINDÓIA,Curitiba,PR
ac63b1ff-c2e9-4d15-9119-4ad2cdbd635b,R. OSCAR WILDE,670,81010-230,LINDÓIA,Curitiba,PR
44679b91-d482-4c8b-a3c3-a9c746fa3c39,R. CAPITÃO JOÃO ZALESKI,1299,81010-080,LINDÓIA,Curitiba,PR
c54c022d-4ec5-420f-8857-0c38386565c1,R. JOSINA RAMOS RÉGIO,872,81010-210,LINDÓIA,Curitiba,PR
e52ef590-2b58-4d73-b75d-694e10e3cd6d,R. GALILEU GALILEI,432,81010-180,LINDÓIA,Curitiba,PR
56d263f3-7081-4d09-8f88-c76525874af9,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
4cbdf9e8-2306-4f37-a750-f5f43dbc1197,AV. PRESIDENTE WENCESLAU BRAZ,2625,81010-000,LINDÓIA,Curitiba,PR
252d2cba-8f77-4e20-9672-2fff1a3c4a73,R. SANTA JOANA DARC,291,81010-190,LINDÓIA,Curitiba,PR
be3407ff-24dd-4b50-932a-3fd8667fd4ae,R. GALILEU GALILEI,337,81010-180,LINDÓIA,Curitiba,PR
52966528-0063-48e9-9010-be69a3bb9b4a,R. SANTA JOANA DARC,184,81010-190,LINDÓIA,Curitiba,PR
f8a4f2ff-4f68-402d-b45d-1852e6d08bf4,R. CONDE DOS ARCOS,1325,81010-120,LINDÓIA,Curitiba,PR
c93a1221-74f4-4987-aac2-5c283e458151,AV. SANTA BERNADETHE,868,81010-200,LINDÓIA,Curitiba,PR
9892d151-9061-446f-9ab4-a49f716d152a,R. ROBERTO KOCH,232,81010-220,LINDÓIA,Curitiba,PR
dd446732-c122-43e8-a004-50d83b6eae4d,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
3c4faaa1-bf08-4825-a866-b04d9feb960e,R. LEON TOLSTOI,1254,81010-090,LINDÓIA,Curitiba,PR
02e5ccc0-0dc8-4bb7-ae0d-0663321eebc2,AV. SANTA BERNADETHE,690,81010-200,LINDÓIA,Curitiba,PR
0a4655ef-7bd0-493e-8cbe-17016eca0f9d,R. EMILE ZOLA,538,81010-260,LINDÓIA,Curitiba,PR
e2cc51f3-290d-4cb0-8413-d209ac5e8923,AV. PRESIDENTE WENCESLAU BRAZ,2907,81010-001,LINDÓIA,Curitiba,PR
